ocel_id;ocel_time;ocel_changed_field;Cargo Type;Cargo stock weight(scheduled);Cargo stock weight(real);Silo ID
Cr81;2024-03-04 00:00:00;;Other;7.9;7.9;Sil84
Cr77;2024-03-04 00:00:00;;Rice;9.7;9.7;Sil97
Cr22;2024-03-04 00:00:00;;Rice;9.4;9.4;Sil57
Cr95;2024-03-04 00:00:00;;Other;19.4;19.4;Sil87
Cr97;2024-03-04 00:00:00;;Wheat;24.3;24.3;Sil19
Cr41;2024-03-04 00:00:00;;Wheat;4.9;4.9;Sil10
Cr2;2024-03-04 00:00:00;;Rice;16.6;16.6;Sil73
Cr59;2024-03-04 00:00:00;;Other;17.0;17.0;Sil25
Cr43;2024-03-04 00:00:00;;Other;15.6;15.6;Sil23
Cr51;2024-03-04 00:00:00;;Corn;5.3;5.3;Sil36
Cr21;2024-03-04 00:00:00;;Corn;12.8;12.8;Sil98
Cr73;2024-03-04 00:00:00;;Potato;6.3;6.3;Sil89
Cr94;2024-03-04 00:00:00;;Rice;9.4;9.4;Sil81
Cr9;2024-03-04 00:00:00;;Rice;10.6;10.6;Sil30
Cr66;2024-03-04 00:00:00;;Potato;1.1;1.1;Sil44
Cr71;2024-03-04 00:00:00;;Wheat;4.7;4.7;Sil51
Cr13;2024-03-04 00:00:00;;Corn;12.2;12.2;Sil76
Cr1;2024-03-04 00:00:00;;Rice;8.3;8.3;Sil80
Cr38;2024-03-04 00:00:00;;Potato;10.0;10.0;Sil18
Cr85;2024-03-04 00:00:00;;Rice;18.3;18.3;Sil78
Cr19;2024-03-04 00:00:00;;Rice;13.5;13.5;Sil63
Cr84;2024-03-04 00:00:00;;Rice;7.0;7.0;Sil26
Cr56;2024-03-04 00:00:00;;Wheat;18.2;18.2;Sil5
Cr14;2024-03-04 00:00:00;;Potato;21.3;21.3;Sil14
Cr16;2024-03-04 00:00:00;;Rice;24.1;24.1;Sil20
Cr65;2024-03-04 00:00:00;;Other;18.1;18.1;Sil85
Cr32;2024-03-04 00:00:00;;Other;16.4;16.4;Sil6
Cr100;2024-03-04 00:00:00;;Wheat;10.7;10.7;Sil86
Cr39;2024-03-04 00:00:00;;Rice;22.3;22.3;Sil48
Cr8;2024-03-04 00:00:00;;Other;20.7;20.7;Sil22
Cr82;2024-03-04 00:00:00;;Wheat;14.7;14.7;Sil54
Cr63;2024-03-04 00:00:00;;Other;12.8;12.8;Sil70
Cr31;2024-03-04 00:00:00;;Rice;24.4;24.4;Sil61
Cr79;2024-03-04 00:00:00;;Rice;24.2;24.2;Sil92
Cr25;2024-03-04 00:00:00;;Rice;12.7;12.7;Sil88
Cr67;2024-03-04 00:00:00;;Corn;10.0;10.0;Sil37
Cr29;2024-03-04 00:00:00;;Corn;10.5;10.5;Sil64
Cr6;2024-03-04 00:00:00;;Other;21.0;21.0;Sil53
Cr58;2024-03-04 00:00:00;;Other;2.0;2.0;Sil52
Cr87;2024-03-04 00:00:00;;Rice;7.2;7.2;Sil49
Cr40;2024-03-04 00:00:00;;Corn;7.1;7.1;Sil2
Cr72;2024-03-04 00:00:00;;Wheat;15.4;15.4;Sil68
Cr75;2024-03-04 00:00:00;;Other;18.9;18.9;Sil8
Cr74;2024-03-04 00:00:00;;Corn;4.3;4.3;Sil33
Cr3;2024-03-04 00:00:00;;Potato;16.8;16.8;Sil42
Cr36;2024-03-04 00:00:00;;Rice;11.7;11.7;Sil40
Cr18;2024-03-04 00:00:00;;Other;15.4;15.4;Sil45
Cr15;2024-03-04 00:00:00;;Rice;10.6;10.6;Sil55
Cr44;2024-03-04 00:00:00;;Corn;18.1;18.1;Sil99
Cr98;2024-03-04 00:00:00;;Rice;14.7;14.7;Sil62
Cr23;2024-03-04 00:00:00;;Other;3.3;3.3;Sil4
Cr76;2024-03-04 00:00:00;;Potato;1.2;1.2;Sil27
Cr91;2024-03-04 00:00:00;;Other;10.3;10.3;Sil43
Cr7;2024-03-04 00:00:00;;Rice;5.2;5.2;Sil39
Cr86;2024-03-04 00:00:00;;Wheat;10.8;10.8;Sil77
Cr33;2024-03-04 00:00:00;;Corn;17.3;17.3;Sil41
Cr26;2024-03-04 00:00:00;;Rice;16.5;16.5;Sil67
